      # Time            Volume             F11               F12               F13               F21               F22               F23               F31               F32               F33        
    5.00000000e-05    1.00000156e+00    9.99998350e-01   -1.84962184e-08   -5.66846862e-08   -8.91705016e-09    9.99998214e-01   -1.23795590e-07   -1.77937979e-07    2.55892896e-07    1.00000500e+00
    2.06250000e-04    1.00000645e+00    9.99993194e-01   -7.62951971e-08   -2.33847635e-07   -3.67826043e-08    9.99992631e-01   -5.10652195e-07   -7.33968306e-07    1.05554536e-06    1.00002063e+00
    6.94531250e-04    1.00002172e+00    9.99977084e-01   -2.56900365e-07   -7.87709412e-07   -1.23860238e-07    9.99975187e-01   -1.71953401e-06   -2.47131056e-06    3.55433392e-06    1.00006945e+00
    2.22041016e-03    1.00006925e+00    9.99926658e-01   -7.73969082e-07   -2.77847366e-06   -3.70965413e-07    9.99920582e-01   -5.61775210e-06   -7.61207543e-06    1.15160494e-05    1.00022204e+00
    4.60459595e-03    1.00009813e+00    9.99831231e-01   -2.78751469e-06   -1.73479784e-05   -4.03063251e-06    9.99806582e-01   -2.46207938e-05   -1.68848315e-06    3.58581525e-05    1.00046046e+00
    6.46724110e-03    1.00010295e+00    9.99751214e-01   -6.14409726e-06   -2.70720587e-05   -8.50983666e-06    9.99705304e-01   -4.12131435e-05    5.26669821e-06    6.00831507e-05    1.00064673e+00
    8.40749646e-03    1.00010584e+00    9.99667387e-01   -9.94364227e-06   -3.26621132e-05   -1.31620644e-05    9.99598209e-01   -5.58271783e-05    9.76063365e-06    8.35287520e-05    1.00084075e+00
    1.04285958e-02    1.00010819e+00    9.99580472e-01   -1.34912718e-05   -3.55480452e-05   -1.76362744e-05    9.99485649e-01   -6.82051668e-05    1.29261268e-05    1.06184612e-04    1.00104286e+00
    1.25339076e-02    1.00011031e+00    9.99490356e-01   -1.68056413e-05   -3.64573871e-05   -2.21636897e-05    9.99367725e-01   -7.81778058e-05    1.50306766e-05    1.27670681e-04    1.00125339e+00
    1.47269407e-02    1.00011233e+00    9.99396824e-01   -2.00170646e-05   -3.57932403e-05   -2.68164382e-05    9.99244439e-01   -8.65142301e-05    1.61421739e-05    1.48588804e-04    1.00147270e+00
    1.81535550e-02    1.00011532e+00    9.99251094e-01   -2.46886149e-05   -3.26732709e-05   -3.38661956e-05    9.99051358e-01   -9.71081725e-05    1.61007241e-05    1.79357447e-04    1.00181536e+00
    2.17229449e-02    1.00011828e+00    9.99099425e-01   -2.95678349e-05   -2.89451155e-05   -4.13043649e-05    9.98850148e-01   -1.06855010e-04    1.54883263e-05    2.09973353e-04    1.00217230e+00
    2.54410593e-02    1.00012127e+00    9.98941812e-01   -3.44906386e-05   -2.47997009e-05   -4.91171295e-05    9.98640296e-01   -1.16218679e-04    1.44316814e-05    2.40828452e-04    1.00254411e+00
    2.93140952e-02    1.00012432e+00    9.98778093e-01   -3.93691292e-05   -2.05374196e-05   -5.73252134e-05    9.98421402e-01   -1.25306087e-04    1.31215347e-05    2.72119591e-04    1.00293141e+00
    3.33485076e-02    1.00012744e+00    9.98608115e-01   -4.41314659e-05   -1.64970889e-05   -6.58840222e-05    9.98193016e-01   -1.34254071e-04    1.16888603e-05    3.03985330e-04    1.00333486e+00
    3.75510205e-02    1.00013065e+00    9.98431497e-01   -4.88366889e-05   -1.26134168e-05   -7.47090691e-05    9.97954897e-01   -1.43435317e-04    1.00415440e-05    3.36881576e-04    1.00375511e+00
    4.19286381e-02    1.00013395e+00    9.98247900e-01   -5.35998796e-05   -8.67130430e-06   -8.37813401e-05    9.97706732e-01   -1.52887119e-04    7.77828894e-06    3.70764997e-04    1.00419287e+00
    4.64886564e-02    1.00013736e+00    9.98056993e-01   -5.85487696e-05   -4.77215069e-06   -9.31139680e-05    9.97448170e-01   -1.62596251e-04    4.71029267e-06    4.05703624e-04    1.00464887e+00
    5.12386755e-02    1.00014089e+00    9.97858465e-01   -6.38067259e-05   -8.66597080e-07   -1.02683090e-04    9.97178814e-01   -1.72532196e-04    7.57670566e-07    4.41779027e-04    1.00512388e+00
    5.61866121e-02    1.00014454e+00    9.97652036e-01   -6.94623975e-05    3.20431424e-06   -1.12436472e-04    9.96898207e-01   -1.82616767e-04   -4.07142368e-06    4.78802865e-04    1.00561867e+00
    6.13407126e-02    1.00014832e+00    9.97437385e-01   -7.54279991e-05    7.36368938e-06   -1.22335209e-04    9.96605903e-01   -1.92824523e-04   -9.63971249e-06    5.16679729e-04    1.00613408e+00
    6.67095674e-02    1.00015223e+00    9.97214210e-01   -8.17285911e-05    1.14029162e-05   -1.32315535e-04    9.96301410e-01   -2.03153279e-04   -1.57299138e-05    5.55472172e-04    1.00667097e+00
    7.23021245e-02    1.00015628e+00    9.96982178e-01   -8.84432763e-05    1.53819474e-05   -1.42379879e-04    9.95984234e-01   -2.13553828e-04   -2.24094459e-05    5.95102530e-04    1.00723023e+00
    7.81277047e-02    1.00016048e+00    9.96740891e-01   -9.56077521e-05    1.92549531e-05   -1.52547591e-04    9.95653913e-01   -2.23996200e-04   -2.96229587e-05    6.35628811e-04    1.00781278e+00
    8.41960175e-02    1.00016483e+00    9.96489839e-01   -1.03216583e-04    2.30373399e-05   -1.62880863e-04    9.95310069e-01   -2.34588650e-04   -3.73538013e-05    6.77222474e-04    1.00841962e+00
    9.05171766e-02    1.00016934e+00    9.96228495e-01   -1.11219010e-04    2.68172824e-05   -1.73407937e-04    9.94952301e-01   -2.45454155e-04   -4.56684375e-05    7.20050230e-04    1.00905173e+00
    1.00393988e-01    1.00017658e+00    9.95820669e-01   -1.23836306e-04    3.22481862e-05   -1.89376671e-04    9.94394167e-01   -2.62068219e-04   -5.90023125e-05    7.86152925e-04    1.01003942e+00
    1.10682333e-01    1.00018407e+00    9.95396554e-01   -1.36987588e-04    3.73908541e-05   -2.05480338e-04    9.93813591e-01   -2.78885529e-04   -7.31060587e-05    8.54201342e-04    1.01106826e+00
    1.21399359e-01    1.00019182e+00    9.94955661e-01   -1.50667769e-04    4.21206147e-05   -2.21687055e-04    9.93209577e-01   -2.95970347e-04   -8.78265491e-05    9.24383834e-04    1.01213996e+00
    1.32562927e-01    1.00019984e+00    9.94497399e-01   -1.64955716e-04    4.64689827e-05   -2.38064231e-04    9.92581177e-01   -3.13407000e-04   -1.03345563e-04    9.96722968e-04    1.01325632e+00
