      # Time            Volume             E11               E22               E33               E23               E13               E12        
    5.00000000e-05    9.99998436e-01    1.64988818e-06    1.78646132e-06   -5.00003741e-06   -6.60483513e-08    1.17311770e-07    1.37067237e-08
    2.06250000e-04    9.99993550e-01    6.80584388e-06    7.36920606e-06   -2.06256366e-05   -2.72449396e-07    4.83917359e-07    5.65401921e-08
    6.94531250e-04    9.99978280e-01    2.29187441e-05    2.48158022e-05   -6.94603445e-05   -9.17452130e-07    1.62962140e-06    1.90394360e-07
    2.22041016e-03    9.99930760e-01    7.33679176e-05    7.94443440e-05   -2.22114816e-04   -2.94974797e-06    5.19644768e-06    5.72486145e-07
    4.60459595e-03    9.99901977e-01    1.68899474e-04    1.93577899e-04   -4.60776811e-04   -5.62016524e-06    9.51691877e-06    3.40286583e-06
    6.46724110e-03    9.99897218e-01    2.49034998e-04    2.94976224e-04   -6.47350115e-04   -9.43738927e-06    1.08910941e-05    7.32238953e-06
    8.40749646e-03    9.99894393e-01    3.33020444e-04    4.02223178e-04   -8.41808299e-04   -1.38512416e-05    1.14259134e-05    1.15458055e-05
    1.04285958e-02    9.99892111e-01    4.20132868e-04    5.14976013e-04   -1.04448956e-03   -1.89887617e-05    1.12687120e-05    1.55545433e-05
    1.25339076e-02    9.99890059e-01    5.10493631e-04    6.33135323e-04   -1.25574700e-03   -2.47468438e-05    1.06479357e-05    1.94729447e-05
    1.47269407e-02    9.99888107e-01    6.04317507e-04    7.56709443e-04   -1.47594923e-03   -3.10461514e-05    9.72456781e-06    2.34016351e-05
    1.81535550e-02    9.99885307e-01    7.50623904e-04    9.50343344e-04   -1.82030633e-03   -4.11720510e-05    8.12818229e-06    2.92586016e-05
    2.17229449e-02    9.99882544e-01    9.02984872e-04    1.15224820e-03   -2.17938938e-03   -5.16890002e-05    6.50433978e-06    3.54070415e-05
    2.54410593e-02    9.99879766e-01    1.06142886e-03    1.36294017e-03   -2.55384462e-03   -6.25278123e-05    4.88199771e-06    4.17902193e-05
    2.93140952e-02    9.99876947e-01    1.22611402e-03    1.58285412e-03   -2.94434813e-03   -7.37498519e-05    3.30297126e-06    4.83740453e-05
    3.33485076e-02    9.99874073e-01    1.39722209e-03    1.81244119e-03   -3.35160724e-03   -8.53593441e-05    1.88331987e-06    5.51113877e-05
    3.75510205e-02    9.99871132e-01    1.57513141e-03    2.05198244e-03   -3.77636215e-03   -9.73939919e-05    6.36400555e-07    6.19716223e-05
    4.19286381e-02    9.99868113e-01    1.76021473e-03    2.30179665e-03   -4.21938758e-03   -1.09818030e-04   -3.43886591e-07    6.89880816e-05
    4.64886564e-02    9.99865009e-01    1.95280823e-03    2.56227204e-03   -4.68149461e-03   -1.22696171e-04   -8.96585763e-07    7.62346446e-05
    5.12386755e-02    9.99861816e-01    2.15324870e-03    2.83382651e-03   -5.16353251e-03   -1.36095081e-04   -1.03170550e-06    8.37700287e-05
    5.61866121e-02    9.99858527e-01    2.36187170e-03    3.11691298e-03   -5.66639064e-03   -1.49958012e-04   -8.38338243e-07    9.15489732e-05
    6.13407126e-02    9.99855139e-01    2.57902489e-03    3.41200460e-03   -6.19100061e-03   -1.64277955e-04   -3.54069895e-07    9.95780080e-05
    6.93939948e-02    9.99850095e-01    2.91807251e-03    3.87360640e-03   -7.01234073e-03   -1.86392962e-04    1.01381140e-06    1.12080610e-04
    7.77828304e-02    9.99844925e-01    3.27097771e-03    4.35482036e-03   -7.87003237e-03   -2.09153135e-04    3.03434565e-06    1.25151440e-04
    8.65212008e-02    9.99839626e-01    3.63858934e-03    4.85619407e-03   -8.76577907e-03   -2.32669795e-04    5.57308718e-06    1.38829441e-04
    9.56236699e-02    9.99834196e-01    4.02150860e-03    5.37858388e-03   -9.70137257e-03   -2.57031680e-04    8.55485420e-06    1.53101792e-04
    1.05105409e-01    9.99828631e-01    4.42036746e-03    5.92287659e-03   -1.06786982e-02   -2.82433020e-04    1.19628991e-05    1.67866111e-04
    1.14982220e-01    9.99822932e-01    4.83597567e-03    6.48984672e-03   -1.16997402e-02   -3.08936084e-04    1.57264823e-05    1.83044054e-04
    1.25270565e-01    9.99817099e-01    5.26899354e-03    7.08048558e-03   -1.27665878e-02   -3.36626964e-04    1.97977643e-05    1.98585132e-04
    1.35987591e-01    9.99811134e-01    5.72008443e-03    7.69584987e-03   -1.38814419e-02   -3.65563514e-04    2.41527029e-05    2.14568980e-04
    1.47151159e-01    9.99805040e-01    6.19000965e-03    8.33697112e-03   -1.50466218e-02   -3.95791634e-04    2.87826854e-05    2.31152569e-04
    1.58779877e-01    9.99798818e-01    6.67960559e-03    9.00488170e-03   -1.62645731e-02   -4.27329217e-04    3.36501161e-05    2.48444507e-04
