      # Time            Volume         Plastic_Work   
    5.00000000e-05    1.00000156e+00    0.00000000e+00
    2.06250000e-04    1.00000645e+00    1.36358016e-59
    6.94531250e-04    1.00002172e+00    3.31947133e-32
    2.22041016e-03    1.00006925e+00    1.65894349e-08
    4.60459595e-03    1.00009813e+00    5.37295074e-06
    6.46724110e-03    1.00010295e+00    1.22050855e-05
    8.40749646e-03    1.00010584e+00    1.98870797e-05
    1.04285958e-02    1.00010819e+00    2.82045982e-05
    1.25339076e-02    1.00011031e+00    3.71138635e-05
    1.47269407e-02    1.00011233e+00    4.66091275e-05
    1.81535550e-02    1.00011532e+00    6.18742258e-05
    2.17229449e-02    1.00011828e+00    7.82083067e-05
    2.54410593e-02    1.00012127e+00    9.56605448e-05
    2.93140952e-02    1.00012432e+00    1.14293809e-04
    3.33485076e-02    1.00012744e+00    1.34184498e-04
    3.75510205e-02    1.00013065e+00    1.55411029e-04
    4.19286381e-02    1.00013395e+00    1.78060390e-04
    4.64886564e-02    1.00013736e+00    2.02229000e-04
    5.12386755e-02    1.00014089e+00    2.28020237e-04
    5.61866121e-02    1.00014454e+00    2.55548152e-04
    6.13407126e-02    1.00014832e+00    2.84932617e-04
    6.67095674e-02    1.00015223e+00    3.16303490e-04
    7.23021245e-02    1.00015628e+00    3.49800419e-04
    7.81277047e-02    1.00016048e+00    3.85573456e-04
    8.41960175e-02    1.00016483e+00    4.23781920e-04
    9.05171766e-02    1.00016934e+00    4.64597566e-04
    1.00393988e-01    1.00017658e+00    5.30809645e-04
    1.10682333e-01    1.00018407e+00    6.02390280e-04
    1.21399359e-01    1.00019182e+00    6.79746012e-04
    1.32562927e-01    1.00019984e+00    7.63311237e-04
    1.44191645e-01    1.00020813e+00    8.53548598e-04
    1.56304892e-01    1.00021672e+00    9.50955456e-04
    1.68922858e-01    1.00022560e+00    1.05606226e-03
    1.82066573e-01    1.00023479e+00    1.16943234e-03
    1.95757942e-01    1.00024429e+00    1.29167122e-03
    2.10019785e-01    1.00025412e+00    1.42342599e-03
    2.24875872e-01    1.00026429e+00    1.56538397e-03
    2.40350962e-01    1.00027479e+00    1.71827780e-03
    2.56470847e-01    1.00028566e+00    1.88288013e-03
    2.73262395e-01    1.00029689e+00    2.06001377e-03
    2.90753590e-01    1.00030849e+00    2.25055382e-03
    3.08973585e-01    1.00032048e+00    2.45542606e-03
    3.27952746e-01    1.00033288e+00    2.67561119e-03
    3.47722706e-01    1.00034568e+00    2.91214499e-03
    3.68316415e-01    1.00035891e+00    3.16612580e-03
    3.89768194e-01    1.00037257e+00    3.43871424e-03
    4.12113798e-01    1.00038668e+00    3.73113237e-03
    4.35390468e-01    1.00040126e+00    4.04466335e-03
    4.59637000e-01    1.00041631e+00    4.38066009e-03
    4.84893803e-01    1.00043187e+00    4.74054635e-03
    5.11202974e-01    1.00044793e+00    5.12581667e-03
    5.38608360e-01    1.00046452e+00    5.53803223e-03
    5.67155637e-01    1.00048166e+00    5.97882811e-03
    5.96892384e-01    1.00049936e+00    6.44991879e-03
    6.27868162e-01    1.00051766e+00    6.95309001e-03
    6.60134598e-01    1.00053657e+00    7.49019970e-03
    6.93745468e-01    1.00055611e+00    8.06318622e-03
    7.28756791e-01    1.00057632e+00    8.67405492e-03
    7.65226920e-01    1.00059722e+00    9.32489196e-03
    8.03216637e-01    1.00061884e+00    1.00178580e-02
    8.42789259e-01    1.00064122e+00    1.07552005e-02
    8.84010740e-01    1.00066439e+00    1.15392106e-02
    9.26949783e-01    1.00068840e+00    1.23722583e-02
    9.71677953e-01    1.00071327e+00    1.32567878e-02
    1.01826980e+00    1.00073907e+00    1.41953143e-02
    1.06680297e+00    1.00076583e+00    1.51904063e-02
    1.11735835e+00    1.00079361e+00    1.62447144e-02
    1.17002021e+00    1.00082246e+00    1.73609554e-02
    1.20000000e+00    1.00083445e+00    1.80019490e-02
