      # Time            Volume      Equiv_Plastic_Stra
    5.00000000e-02    9.99984364e-01    2.38346921e-35
    2.06250000e-01    9.99935759e-01    8.02785799e-07
    4.50390625e-01    9.99909751e-01    1.88612160e-04
    6.41125488e-01    9.99905645e-01    3.93935005e-04
    8.39807638e-01    9.99903137e-01    6.10005165e-04
    1.04676821e+00    9.99901078e-01    8.34296422e-04
    1.26235214e+00    9.99899206e-01    1.06702071e-03
    1.48691873e+00    9.99897410e-01    1.30874481e-03
    1.72084227e+00    9.99895640e-01    1.55999865e-03
    2.08634779e+00    9.99893048e-01    1.95175158e-03
    2.46708271e+00    9.99890445e-01    2.35910283e-03
    2.86368158e+00    9.99887810e-01    2.78273070e-03
    3.27680541e+00    9.99885127e-01    3.22343234e-03
    3.70714273e+00    9.99882382e-01    3.68202967e-03
    4.15541077e+00    9.99879566e-01    4.15933775e-03
    4.62235665e+00    9.99876673e-01    4.65621794e-03
    5.10875860e+00    9.99873698e-01    5.17351275e-03
    5.61542731e+00    9.99870636e-01    5.71214057e-03
    6.14320721e+00    9.99867483e-01    6.27304338e-03
    6.69297793e+00    9.99864237e-01    6.85716713e-03
    7.26565578e+00    9.99860893e-01    7.46556009e-03
    7.86219520e+00    9.99857450e-01    8.09931462e-03
    8.48359042e+00    9.99853903e-01    8.75956579e-03
    9.13087712e+00    9.99850251e-01    9.44750278e-03
    9.80513409e+00    9.99846491e-01    1.01643473e-02
    1.05074851e+01    9.99842622e-01    1.09113654e-02
    1.16049086e+01    9.99837000e-01    1.20794837e-02
    1.27480580e+01    9.99831265e-01    1.32973426e-02
    1.39388387e+01    9.99825419e-01    1.45672148e-02
    1.51792352e+01    9.99819468e-01    1.58914572e-02
    1.64713149e+01    9.99813418e-01    1.72725212e-02
    1.78172313e+01    9.99807275e-01    1.87129816e-02
    1.92192275e+01    9.99801048e-01    2.02155395e-02
    2.06796402e+01    9.99794747e-01    2.17830576e-02
    2.29615351e+01    9.99786710e-01    2.42382204e-02
    2.53385090e+01    9.99778825e-01    2.68021792e-02
    2.78145234e+01    9.99771134e-01    2.94802357e-02
    3.03937051e+01    9.99763684e-01    3.22778956e-02
    3.30803527e+01    9.99756528e-01    3.52008758e-02
    3.58789439e+01    9.99749723e-01    3.82551495e-02
    3.87941431e+01    9.99743335e-01    4.14470445e-02
    4.18308089e+01    9.99737432e-01    4.47832927e-02
    4.49940025e+01    9.99732089e-01    4.82709995e-02
    4.82889958e+01    9.99727392e-01    5.19176004e-02
    5.17212805e+01    9.99723435e-01    5.57309870e-02
    5.52965771e+01    9.99720318e-01    5.97195559e-02
    5.90208444e+01    9.99718152e-01    6.38919896e-02
    6.29002894e+01    9.99717059e-01    6.82574300e-02
    6.69413780e+01    9.99717171e-01    7.28256482e-02
    7.11508453e+01    9.99718632e-01    7.76070611e-02
    7.55357071e+01    9.99721604e-01    8.26127978e-02
    8.01032714e+01    9.99726262e-01    8.78546055e-02
    8.48611510e+01    9.99732796e-01    9.33450620e-02
    8.98172755e+01    9.99741417e-01    9.90974038e-02
    9.49799051e+01    9.99752360e-01    1.05125526e-01
    1.00357644e+02    9.99765879e-01    1.11444465e-01
    1.05959456e+02    9.99782255e-01    1.18070052e-01
    1.11794677e+02    9.99801800e-01    1.25018596e-01
    1.17873031e+02    9.99824854e-01    1.32308290e-01
    1.20000000e+02    9.99824800e-01    1.34865446e-01
