      # Time            Volume             E11               E22               E33               E23               E13               E12        
    5.00000000e-02    9.99984364e-01    1.64995260e-05    1.78652662e-05   -5.00037416e-05   -6.60455400e-07    1.17315494e-06    1.37067735e-07
    2.06250000e-01    9.99935759e-01    6.81831552e-05    7.38358797e-05   -2.06313674e-04   -2.74302523e-06    4.82556533e-06    5.25840969e-07
    4.50390625e-01    9.99909751e-01    1.67114223e-04    1.93066120e-04   -4.50694109e-04   -5.74338591e-06    8.91512251e-06    3.67910719e-06
    6.41125488e-01    9.99905645e-01    2.49418816e-04    2.97416971e-04   -6.41740732e-04   -9.79405339e-06    1.00922046e-05    7.82238060e-06
    8.39807638e-01    9.99903137e-01    3.35364741e-04    4.07675614e-04   -8.40864035e-04   -1.45395751e-05    1.03289721e-05    1.20009210e-05
    1.04676821e+00    9.99901078e-01    4.24464275e-04    5.23512944e-04   -1.04841071e-03   -2.00326938e-05    9.91304052e-06    1.59588942e-05
    1.26235214e+00    9.99899206e-01    5.16866211e-04    6.44862855e-04   -1.26474268e-03   -2.61352078e-05    9.08510034e-06    1.98745595e-05
    1.48691873e+00    9.99897410e-01    6.12895364e-04    7.71649401e-04   -1.49023778e-03   -3.27346033e-05    8.03917636e-06    2.37525854e-05
    1.72084227e+00    9.99895640e-01    7.12830367e-04    9.03919045e-04   -1.72529057e-03   -3.96867179e-05    6.90968015e-06    2.77059354e-05
    2.08634779e+00    9.99893048e-01    8.68850725e-04    1.11089790e-03   -2.09289196e-03   -5.04513892e-05    5.25361093e-06    3.39819758e-05
    2.46708271e+00    9.99890445e-01    1.03098817e-03    1.32699019e-03   -2.47624027e-03   -6.15544007e-05    3.60471768e-06    4.04723111e-05
    2.86368158e+00    9.99887810e-01    1.19939383e-03    1.55265787e-03   -2.87602891e-03   -7.30447280e-05    2.06255419e-06    4.71175197e-05
    3.27680541e+00    9.99885127e-01    1.37435878e-03    1.78825518e-03   -3.29298344e-03   -8.49461898e-05    7.19016288e-07    5.38855052e-05
    3.70714273e+00    9.99882382e-01    1.55631783e-03    2.03402252e-03   -3.72786317e-03   -9.72245501e-05   -3.58335623e-07    6.07722644e-05
    4.15541077e+00    9.99879566e-01    1.74560918e-03    2.29033212e-03   -4.18146301e-03   -1.09927620e-04   -9.70864815e-07    6.78785285e-05
    4.62235665e+00    9.99876673e-01    1.94257150e-03    2.55758616e-03   -4.65461521e-03   -1.23137363e-04   -1.11505811e-06    7.52680545e-05
    5.10875860e+00    9.99873698e-01    2.14753037e-03    2.83623352e-03   -5.14819124e-03   -1.36781890e-04   -8.99087116e-07    8.28905340e-05
    5.61542731e+00    9.99870636e-01    2.36084818e-03    3.12671810e-03   -5.66310390e-03   -1.50854148e-04   -3.52348422e-07    9.07729375e-05
    6.14320721e+00    9.99867483e-01    2.58288865e-03    3.42951791e-03   -6.20030949e-03   -1.65369558e-04    5.34574274e-07    9.89613843e-05
    6.69297793e+00    9.99864237e-01    2.81400896e-03    3.74515381e-03   -6.76081011e-03   -1.80333213e-04    1.78912324e-06    1.07524313e-04
    7.26565578e+00    9.99860893e-01    3.05470315e-03    4.07404576e-03   -7.34565612e-03   -1.95818779e-04    3.35751496e-06    1.16467258e-04
    7.86219520e+00    9.99857450e-01    3.30545618e-03    4.41666188e-03   -7.95594869e-03   -2.11842981e-04    5.19227284e-06    1.25814693e-04
    8.48359042e+00    9.99853903e-01    3.56663862e-03    4.77362509e-03   -8.59284267e-03   -2.28467865e-04    7.29059841e-06    1.35555583e-04
